Time,SSID,IPV6,Channel,Signal Strength
2025-04-06 19:01:52,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:01:52,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,72
2025-04-06 19:01:52,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,69
2025-04-06 19:01:52,iBus Wi-Fi,FC:11:65:51:75:80,149,50
2025-04-06 19:01:52,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,44
2025-04-06 19:01:52,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:01:52,iBus Wi-Fi,B4:A2:5C:4F:0A:10,6,22
2025-04-06 19:02:02,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:02:02,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,69
2025-04-06 19:02:02,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,57
2025-04-06 19:02:02,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,52
2025-04-06 19:02:02,iBus Wi-Fi,FC:11:65:51:75:80,149,50
2025-04-06 19:02:02,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,34
2025-04-06 19:02:02,iBus Wi-Fi,B4:A2:5C:4F:0A:10,6,22
2025-04-06 19:02:12,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:02:12,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,69
2025-04-06 19:02:12,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,57
2025-04-06 19:02:12,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,52
2025-04-06 19:02:12,iBus Wi-Fi,FC:11:65:51:75:80,149,50
2025-04-06 19:02:12,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,34
2025-04-06 19:02:12,iBus Wi-Fi,B4:A2:5C:4F:0A:10,6,22
2025-04-06 19:02:25,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:02:25,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,69
2025-04-06 19:02:25,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,57
2025-04-06 19:02:25,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,52
2025-04-06 19:02:25,iBus Wi-Fi,FC:11:65:51:75:80,149,50
2025-04-06 19:02:25,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,34
2025-04-06 19:02:35,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:02:35,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,72
2025-04-06 19:02:35,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,70
2025-04-06 19:02:35,iBus Wi-Fi,FC:11:65:51:75:80,149,59
2025-04-06 19:02:35,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,45
2025-04-06 19:02:35,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,34
2025-04-06 19:02:45,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:02:45,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,72
2025-04-06 19:02:45,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,70
2025-04-06 19:02:45,iBus Wi-Fi,FC:11:65:51:75:80,149,59
2025-04-06 19:02:45,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,45
2025-04-06 19:02:45,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,34
2025-04-06 19:02:59,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:02:59,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,72
2025-04-06 19:02:59,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,70
2025-04-06 19:02:59,iBus Wi-Fi,FC:11:65:51:75:80,149,59
2025-04-06 19:02:59,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,45
2025-04-06 19:02:59,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,34
2025-04-06 19:03:09,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:03:09,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,70
2025-04-06 19:03:09,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,60
2025-04-06 19:03:09,iBus Wi-Fi,FC:11:65:51:75:80,149,59
2025-04-06 19:03:09,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,54
2025-04-06 19:03:09,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:03:19,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:03:19,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,70
2025-04-06 19:03:19,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,60
2025-04-06 19:03:19,iBus Wi-Fi,FC:11:65:51:75:80,149,59
2025-04-06 19:03:19,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,54
2025-04-06 19:03:19,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:03:32,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:03:32,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,60
2025-04-06 19:03:32,iBus Wi-Fi,FC:11:65:51:75:80,149,59
2025-04-06 19:03:32,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,54
2025-04-06 19:03:32,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:03:42,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,97
2025-04-06 19:03:42,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,67
2025-04-06 19:03:42,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:03:42,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,45
2025-04-06 19:03:42,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:03:52,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,97
2025-04-06 19:03:52,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,67
2025-04-06 19:03:52,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:03:52,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,45
2025-04-06 19:03:52,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:04:07,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,97
2025-04-06 19:04:07,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,67
2025-04-06 19:04:07,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:04:07,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,45
2025-04-06 19:04:07,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,25
2025-04-06 19:04:17,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:04:17,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,62
2025-04-06 19:04:17,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:04:17,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,37
2025-04-06 19:04:17,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:04:27,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:04:27,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,62
2025-04-06 19:04:27,iBus Wi-Fi,FC:11:65:51:75:80,149,52
2025-04-06 19:04:27,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,37
2025-04-06 19:04:27,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,77
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,62
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,37
2025-04-06 19:04:41,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,77
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,70
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,49
2025-04-06 19:04:51,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,77
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,70
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,49
2025-04-06 19:05:01,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,99
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,77
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,70
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,49
2025-04-06 19:05:13,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,30
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:47:B4:10,6,100
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:50:72:B0,1,70
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:50:72:A0,44,55
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:47:BF:90,11,49
2025-04-06 19:05:23,iBus Wi-Fi,B4:A2:5C:4E:D3:D0,11,27
